url|name|variety|origin|family|description|reviews
https://www.wine.com/product/eden-rift-estate-pinot-noir-2018/743138|Eden Rift Estate Pinot Noir 2018|Pinot Noir| from Cienega Valley, Central Coast, California|Red Wine|Showing both red-tone and dark fruits, the bouquet features notes of spiced cranberry, wild blackberry, black cherry as well as pomegranate, violets, black tea and chalk-like, minerals notes. Found in the recesses, aromas of cherry pit, vanilla-cream and berry pie. Medium weight.
|A layered and fine-grained pinot with strawberry and cherry aromas and flavors. Flint and some cranberry and watermelon, too. Pure. Medium to full body, bright acidity and light asphalt to the strawberry and raspberry undertones. Drink or hold. COMMENTARY: The 2018 Eden Rift Vineyards Estate Pinot Noir is well-built and lasting on the palate. TASTING NOTES: This wine shines with aromas and flavors of rustic earth, savory spices, black fruit, and black tea. Try it with garlic and rosemary-infused roast leg of lamb. (Tasted: June 17, 2022, San Francisco, CA) The 2018 Pinot Noir Estate is another outstanding wine. Notes of Bing cherries, mulberries, loamy earth, and forest floor all emerge from the glass, and it's medium-bodied, has a rounded, balanced mouthfeel, nicely integrated acidity, and enough structure to keep it drinking well for at least 7-8 years. It's rock solid. Clean lines of plump black raspberry, pastry crust and tarragon make for a delicious nose on this estate bottling. Snappy raspberry flavors kick off the sip, where lilac, wild mint and dried herbs prove both fresh and delicate. Made from Dijon clone vines, the 2018 Pinot Noir Estate has a pale ruby-purple color and scents of spiced rhubarb and black cherries with notes of fragrant earth and tangerine peel. The palate is light-bodied, silky, bright and juicy with spice-laced fruits and a layered finish. Vinous and red fruited, of the six 2018s from Eden Rift, this may be the most structured, showing a rosy scent at a distance, and dried cherry and strawberry flavors. There’s much in place but it needs time.
https://www.wine.com/product/pala-oltreluna-monica-2020/1132371|Pala Oltreluna Monica 2020|Other Red Wine| from Sardinia, Italy|Red Wine|Vibrant notes of licorice and red fruit on the nose. Dry and smooth on the palate with perfect balance and length.|Sweet berry and cherry aromas with dried flowers. Medium to full body. Plenty of ripe fruit and creamy tannins. Lovely spice. Drink now.
https://www.wine.com/product/martin-ray-sonoma-napa-cabernet-sauvignon-2020/946610|Martin Ray Sonoma-Napa Cabernet Sauvignon 2020|Cabernet Sauvignon| from North Coast, California|Red Wine|Classic and ripe with deep blue and purple fruit, notes of currant, fresh blackberry, bramble, and peppercorn. Interlaced with wet stone and earth, over touches of elderflower and vanilla with fervent, yet silky integrated tannins.|A very savory and delicious red with red-meat and currant aromas and flavors. Medium body and lightly chewy tannins. Currants and fresh herbs. Real cabernet character and dry at the end. Excellent value. Drink or hold.
https://www.wine.com/product/clos-dalian-garnacha-crianza-2016/548780|Clos Dalian Garnacha Crianza 2016|Grenache| from Terra Alta, Spain|Red Wine|Light cherry color. It has an aroma of red fruits with a gentle touch of toast and mineral notes, which are so characteristic of our Garnacha. In the mouth, it is meaty, balanced and well-rounded.|COMMENTARY: The 2016 Clos Dalian Crianza is an excellent example of a smooth and delectable Garnacha. TASTING NOTES: This wine offers lovely aromas and flavors of ripe and lively red fruits. Pair it with roast turkey. (Tasted: December 22, 2021, San  Francisco, CA) Aromas of leather, cherry and berry aromas come with additional notes of dried herbs, grainy oak and animal hide. The medium-bodied palate is straightforward and lifted by bright acidity. Flavors of cherry tomato, red plum, raspberry and vanilla finish with springiness and punch.Best Buy
https://www.wine.com/product/josephine-dubois-pinot-noir-2021/994331|Josephine Dubois Pinot Noir 2021|Pinot Noir| from Vin de France, France|Red Wine|This Pinot Noir is full of charm with a bright ruby color and a nose rich with aromas of red fruits such as raspberry, red currants and wild strawberry. On the palate, it is juicy and round with nice fruit, light tannins, and great elegance.|COMMENTARY: The 2021 Josephine Dubois Pinot Noir is juicy and pleasing on the palate. TASTING NOTES: This wine exhibits aromas and flavors of tangy red fruits, black fruits, and hints of spice. Serve it with roast game birds. (Tasted: January 10, 2023, San Francisco, CA)
https://www.wine.com/product/herdade-do-rocim-alicante-bouschet-2020/1171509|Herdade do Rocim Alicante Bouschet 2020|Alicante Bouschet| from Alentejo, Portugal|Red Wine|Deep concentrated ruby color. Enticing aroma of black fruits and a well balanced minerality with the spicy notes from aging in barrel. Well structured tannins and balanced acidity, allowing a good bottle aging.|This wine is seriously young, tannins and dark black fruits still just beginning to develop. With a rich, smoky character, alongside black plum flavors, the wine needs further aging. Drink from 2025.Editors' Choice
https://www.wine.com/product/goldschmidt-vineyard-crazy-creek-fidelity-red-2020/939357|Goldschmidt Vineyard Crazy Creek Fidelity Red 2020|Bordeaux Red Blends| from Alexander Valley, Sonoma County, California|Red Wine|Intense purple and reds in color. Wonderful aromatics are opulent and very floral. Black fruits were a common theme. Black cherry, plum and some licorice texture. Lush ripe tannins and full-bodied. Creamy velvet tongue-wrapping flavors that coate the palate.|Aromas of ripe plums, blackberries and black cherries with notes of vanilla, chocolate and licorice. Medium-bodied with a mild, creamy texture, velvety tannins and fruit-driven character. Juicy and delicious. Drink or hold.
https://www.wine.com/product/vina-tarapaca-gran-reserva-etiqueta-azul-2020/1132405|Vina Tarapaca Gran Reserva Etiqueta Azul 2020|Other Red Blends| from Maipo Valley, Chile|Red Wine|Vina Tarapaca Gran Reserva Etiqueta Azul is a deep ruby color. The wine offers aromas of raspberry and cherry, plum, blackberry and cassis, as well as cassis and violet. Firm in structure and velvety on the palate. This wine is characterized by its balance of alcohol and acidity, with some mineral flavors such as graphite.|One of the most encouraging qualities of those Chilean wines which made it through to gold and platinum this year, our judges felt, was a new aromatic complexity and a much finer understanding of aromatic maturity in the vineyard than in the past. This complex, subtle and still youthful blend offers an excellent example of this. It's dark black-red, with creamy plum and currant notes as well as a hint of fragrant, cured Havana leaf. On the palate, it is concentrated and long, with admirable freshness lending life and energy to the red and black fruits. Meaty yet supple tannins bring ballast. It's harmonious and accessible now, but there is enough density here to carry it effortlessly through half a decade's maturation. Creamy cassis, dark olives and tomato leaf with hints of cedar and incense. A flattering, full-bodied red with creamy oak and fine-grained tannins on the palate, before a long finish with some vanilla and sweet spices. Drink from 2023. An elegant yet well-structured red, with a wonderful layer of chrysanthemum on display from start to finish, plus vibrant blackberry and plum flavors joined by subtle herb and spice details. Shows nice length around firm, chalky tannins. Cabernet Sauvignon, Syrah, Cabernet Franc and Malbec. 
https://www.wine.com/product/radley-and-finch-the-profs-pinotage-2021/868316|Radley & Finch The Profs Pinotage 2021|Pinotage| from South Africa|Red Wine|A wine expressing the plush riper side of Pinotage and still reflecting a very subtle old world tannin.|COMMENTARY: The 2021 Radley & Finch, The Profs Pinotage, is a delicious red wine that wine lovers would enjoy. TASTING NOTES: This wine shines with aromas and flavors of blackberries, dried leaves, and a note of licorice. Pair it with BBQ baby back ribs. (Tasted: November 28, 2022, San Francisco, CA)
https://www.wine.com/product/protos-9-meses-tempranillo-2020/1123997|Protos 9 Meses Tempranillo 2020|Tempranillo| from Ribera del Duero, Spain|Red Wine|Bright cherry color with purple rim. Fresh, where black and red berries blend together with spicy, slight toasted notes and cocoa from the barrel ageing. Very smooth and silky feel, balanced and soft tannins.Pair with roasted lamb, Italian food (pizza, spaghetti Bolognese, lasagna), paella, meat stews, and semi-aged cheeses.|COMMENTARY: The 2021 Protos 9 Meses offers excellent length on the palate. TASTING NOTES: This wine excels with aromas and flavors of ripe boysenberries, black fruits, tar, earthy notes, and oak. Enjoy it with grilled lamb chops. (Tasted: December 6, 2022, San Francisco, CA)
https://www.wine.com/product/eden-rift-terraces-pinot-noir-2018/938572|Eden Rift Terraces Pinot Noir 2018|Pinot Noir| from Cienega Valley, Central Coast, California|Red Wine||Bright and fresh aromas of pomegranate and zesty raspberry are warmed up by star anise and nutmeg on the nose of this bottling. There are ripe red-fruit flavors on the palate yet there is a persistently energetic and bright acidity that slices through, and the pinch of white pepper adds complexity. From two low-yielding Caleraclone blocks, this wine’s lush raspberry fruit has a briary scent and beetroot depth, succulent and mouthfilling. It’s piercing and assertive in its flavors, with a concentration and radial intensity that makes it ideal for cellaring. An open and rather soft pinot, offering strawberry and cherry aromas with some stems. Cranberry, too. It’s medium-to full-bodied with a round, creamy texture and a juicy finish. Sheers off at the finish. Drink or hold Pale ruby-purple, the 2018 Pinot Noir Terraces has a nose of blueberries and earth with touches of dried herbs, pepper and citrus. The palate is medium-bodied and firm but ripe, with pleasantly broody fruits and a flavorful finish. This has the structure and flesh to age well in bottle.
https://www.wine.com/product/heredad-ugarte-onice-rioja-2020/864578|Heredad Ugarte Onice Rioja 2020|Tempranillo| from Rioja, Spain|Red Wine|Dark garnet in color with powerful aromas of black currant, blackberry, and cigar box spices. Tangy black currant and blackberry jam flavors were accented by hints of smoky earth, whilst crushed black peppercorn, toasty oak, and traces of caramel comprised the spicy, elongated finish. Sustainably farmed.|COMMENTARY: The 2020 Heredad Ugarte Onice Rioja is light and fresh. TASTING NOTES: This wine exhibits lively aromas and flavors of red fruit and earthy accents. Enjoy it with simple carnitas tacos. (Tasted: February 1, 2022, San Francisco, CA)
